"Id","Name","Description","Tel","Add","Zipcode","Opentime","Map","Px","Py","Class","Website","Parkinginfo","Changetime"
"C3_382000000A_206706","大紅袍","除了各式火鍋，大紅袍引以為傲的就是他們的麻辣燙，麻辣燙所有的湯底都有加入鴨血和豆腐，口味有多種選擇，還有拉麵、冬粉等搭配海鮮、牛肉、嫩雞、羊肉、豬肉的餐點，可依照個人喜好選擇。這裡的湯頭的味道，超級香醇濃郁，而且不只是辣而已，還帶有麻的感覺，就像四川花椒的麻一樣，搭配吸飽湯汁的冬粉，讓喜歡嘗鮮的朋友躍躍欲試。推薦菜色:手打嫩牛鍋、手打嫩雞鍋、養生菇菌鍋、 手工川丸子、紅袍嫩牛嫩雞","886-2-29141239","新北市231新店區中興路三段1-8號(新店家樂福1F)","231","10:00-22:00 (全年無休除夕到六點)","","121.54594","24.97641","09","","","2019/06/10 16:45:13"
"C3_382000000A_208050","金山長益餅店","異於現今餅店的傳統口味。凸餅、咖哩肉餅、老婆餅、綠豆小月餅、烏豆沙、鳳梨餅等等種類繁多，任君挑選。&","886-2-24985110","新北市208金山區金包里街57號","208","週一 ~ 週日 09:00 - 03:00","","121.63875","25.22156","09","","","2022/05/27 17:49:59"
"C3_382000000A_207262","三隻小豬早餐","軟嫩的蛋捲搭配火腿與起司，加上美味的義式烤三明治與美式培根牛肉堡，輕鬆悠閒的用餐環境讓人想一去再去。推薦菜色:義式烤三明治、美式培根牛肉堡","886-2-29530917","新北市220板橋區後埔街54號","220","07:00~15:00（供餐到14:30) 星期一休","","121.46054","25.00576","09","","","2018/12/26 17:59:38"
"C3_382000000A_207494","玉麵堂","以江浙菜聞名的玉麵堂，建築以傳統中式風格呈現，原木的大門以及內部使用沉木裝潢，加上古典雕花窗扇，還有水晶珠廉及設計感的吊燈，使整體呈現和諧的中西式混搭風格，讓店內的用餐氣氛很溫馨，這裡融合了江浙菜與台菜的料理，除了飯麵、冷盤、熱炒、砂鍋、還有海鮮，很適合團體聚會還有家庭聚餐，而店家首推的各式雞湯以及特色砂鍋還有黃魚，一定要你親自試過才能感受到箇中奧祕。推薦菜色:吊銅鐘土雞湯、砂鍋土雞煲湯、雪菜肉絲雞湯煨麵、砂鍋牛腩牛筋煲、老雪菜燒黃魚","886-2-29103654","新北市231新店區中華路113號1樓","231","平日 11:30 - 14:00、17:30 - 21:00 / 假日11:30 - 13:00、13:00 - 02:30 ；17:30 - 19:00、19:10-20:40 / 休星期一","","121.53866","24.96927","09","","","2020/07/28 14:06:36"
"C3_382000000A_207570","大胖子豆腐冰淇淋","懷念的古早味枝仔冰，在深坑也吃得到，這間深坑豆腐冰淇淋店，有提供各式各樣的口味給民眾選擇，除了傳統的枝仔冰，這邊也有受到小朋友喜愛的雞蛋冰，焦糖以及芝麻還有黑豆腐製成的多種口味豆腐冰淇淋，在夏天除了消暑外，熱量又不會太高，適合想吃又怕胖的朋友一起來嚐鮮。","886-2-26621111","新北市222深坑區深坑街62號","222","9:00-19:00","","121.61466","25.00162","09","","","2018/06/25 10:15:42"
"C3_382000000A_207594","翡翠谷飲食店","到店內用餐不但可以品嚐高貴不貴的風味餐點，如溪蝦、珠蔥、放山雞等，還可以吃到女主人的現做手工蛋捲，純手工製作的蛋捲，隨著口味有不同香氣，散發濃濃蛋香，相當可口誘人。","886-2-26632198","新北市223石碇區烏來區烏來街26-28號","223","週一  ~週五 9:00 - 19:00 / 週六日 9:00 - 19:00 / 每月第二個禮拜五休息","","121.5514","24.8639","09","","","2020/07/28 13:01:14"
"C3_382000000A_208965","大華168魷魚羹(板橋介壽店)","花枝焿、魷魚焿、生魷魚焿、綜合焿，光看這麼多料理，就讓人食指大動。","886-2-22516168","新北市220板橋區介壽街14號1樓","220","11:00~20:00(週六、週日和國定假日休)","","121.4674","25.02006","09","","","2017/07/20 22:10:52"
"C3_382000000A_212785","竹柏苑","單純山林禮物-石碇竹柏苑傳統麥芽膏 在阿嬤的調味櫃裡，你是否曾瞥見麥芽膏瓶罐的身影？遵循古法製作懷舊麥芽膏，耗時費工，但隱藏在「傳統」的表相下，其實是來自古老智慧的營養、健康與美味。在竹柏苑，從種植小麥草開始，經過繁複的工序，呈現完全天然、健康價值高的一罐罐麥芽膏，有著無比的豐富內涵，傳承的更是古早美德中對飲食文化的尊重，與對家人健康的關懷。","886-2-26632307","新北市223石碇區潭邊里石崁35-2號(區公所旁)","223","09:00 - 18:00","","121.65752","24.99281","09","","","2017/07/06 11:54:59"
"C3_382000000A_403118","長谷川國際實業有限公司","力代黑糖珍奶是2020年最多部落客推薦的黑糖珍珠奶茶禮盒嚴選選數種優質阿薩姆紅茶，搭配口感Ｑ彈的粉圓，100%採用台灣寶山黑糖，呈現濃郁黑糖香氣完美復刻台灣手搖珍珠奶茶的美味讓您在家也能輕鬆享受黑糖珍珠奶茶的樂趣~~純正珍珠經特殊滅菌技術處理可常溫保存一年（非蒟蒻混充）■零防腐劑、■零反式脂肪、■冰涼後飲用風味更佳。","886-2-29996958","新北市241三重區重新路5段609巷14號10樓之5","241","AM:8:00-PM5:00，週六及週日公休","","121.46704","25.04595","09","","","2022/05/27 17:58:39"
"C3_382000000A_206201","老爹滷味","老爹滷味的主角「許老爹」在年近高齡近八十歲時，原籍山東，擁有三十多年的調滷經驗，親手製作的北方口味滷味堪稱一絕、老少咸宜，成立了永和的老爹滷味店面，目前由兒子女兒接手經營。老爹滷味，不但加入中藥的北方醬滷手法相當獨特，也同時講究食材品質、堅持食品衛生。並將食品以乾淨的包裝分開擺設，便利民眾挑選，並以冷藏透明櫃隔絕與空氣的接觸，讓食品更保鮮。店面也擺脫一般滷味店給人的刻板印象，以明亮簡潔、衛生乾淨的環境為主要風格，店面鵝黃色燈光、整齊的商品陳列，精緻高雅的氛圍，讓消費者盡情放鬆的在店內挑選喜愛的滷味。推薦菜色:滷鴨舌、鴨舌、牛腱、雞腳、豬血糕、小豆干","886-2-29288027","新北市234永和區福和路326號","234","週一 ~  週四 10:00 - 21:00 / 週五、六 10:00 - 22:30 / 週日公休","","121.51552","25.00731","09","","","2020/07/28 14:22:26"
"C3_382000000A_206238","大團圓餐廳","大團圓，於民國79年創業，創辦人李先生為園藝出身，當初這片空地由窪地到打地基、建築等，都是李先生一手打造。透過農委會輔導轉型經營，大團圓成為當地歷史悠久的餐廳。大團圓相當注重飲食養生觀念，於是不但結合戶外花園座位、深坑特色豆腐料理、專業筵席、更結合了藥膳料理與創意料理，要讓大團圓的獨特性發揮淋漓盡致，無論是尾牙聚餐、包場筵席，都相當適合。目前由第二代接手經營，強調大團圓一切以「美」為出發點，店內的戶外座位充斥綠意、服務的團隊也以親切熱心為主，歡迎闔家到深坑遊玩、體驗大團圓的美食與美景。","886-2-26625328","新北市222深坑區阿柔里25-1號","222","平日11:00~14:00/17:00~20:30 假日:11:00~20:30","","121.61285","24.99912","09","","","2021/09/27 15:47:09"
"C3_382000000A_206244","美養莊園餐飲","健康飲食‧體貼身心-美養莊園一樓餐廳開放給所有愛好享用美食的您，店中招牌餐點主打健康養生鍋系列，以新鮮的自然食材搭配各式主廚精心熬煮的湯頭，不添加味精和人工香料，讓您吃的美味健康又安心，另有義大利麵和精緻排餐和下午茶餐點供您選擇。休閒氛圍‧獨家打造-莊園中的餐飲部門在規劃設計時就以融合大自然的氛圍為主軸，舒適寬敞的用餐空間，呈現清新又自在、無拘無束的休閒風，在大都會中更顯獨特珍貴，邀請您來享受慢食、樂活的新現代飲食。","886-2-29182933","新北市231新店區二十張路11巷1-1號","231","下午餐 14:00 - 17:00  / 午餐 11:30 - 14:00 / 晚餐 17:00 - 20:00 / 假日午餐 13:30 - 15:00","","121.53987","24.98257","09","","","2020/07/28 14:10:26"
"C3_382000000A_206275","Gino Pizza店","蘆洲湯姆咖啡廚房提供平價、專業歐式料理、義大利麵、排餐，還有專業窯烤披薩，講求高品質、健康的料理方式，份量大、走精緻的視覺效果，您可在充滿南法情懷的餐廳用餐。湯姆咖啡嚴選食材及優質調味品，以現點現做的方式，提供道地義大利風味料理，以及融合歐法日料理元素的創新菜色，從開胃菜、義大利式窯烤PIZZA、義大利麵、精緻套餐到甜點、義式咖啡、花茶應有盡有。義大利式窯烤PIZZA，擁有外厚內薄，麵皮口感香Q彈牙的特色，越嚼越香，且外型非常特別，外圈的點點烤痕，讓他有豹紋披薩的暱稱，邀您一嚐這獨到的異國美食。","886-2-28482666","新北市247蘆洲區長安街108巷27號","247","週一~週五11:30~15:00 / 17:00~22:00 週六日11:30~22:00","","121.4621","25.08255","09","","","2022/09/28 14:09:48"
"C3_382000000A_206780","阿婆魚羹","阿雲傳統切仔麵店就是九份當地人口中的阿婆魚羹；至今仍在店內掌廚、高齡將近80歲的阿雲阿婆，打從1950年開始，就用煤炭親手煮出一碗碗美味的魚羹、乾麵，滿足九份人的胃，可說是最無價的「鎮店之寶」。走過絢爛的鎏金歲月，因為金礦淘盡而回歸平淡，又因為電影「悲情城市」帶動九份老街的觀光熱潮，而重新步入繁華；店裡的顧客一代換過一代，假日的觀光客一批換過一批，阿雲阿婆對魚羹品質的堅持，始終不變。","886-2-24976678","新北市224瑞芳區基山街9號","224","08:30 - 17:00(如果沒有人的話，提早收攤)","","121.84533","25.1096","09","","","2020/07/28 13:07:33"
"C3_382000000A_206988","廣泰香西點麵包店","曾被非凡大探索報導。廣泰香西點麵包店，是一家極傳統的家庭式麵包店，妳來到這裡建議嚐看看傳統菠蘿麵包，純菠羅不含其他香料，以頂端的糖酥與下部的麵糰共嚼之後，吃的到菠羅的甜腴與麵香，除了傳統菠蘿，現在口味增加至十多種，供民眾選擇。特色料理：菠羅麵包、奶酥菠蘿、奶油菠蘿等。曾被非凡大探索報導。廣泰香西點麵包店，是一家極傳統的家庭式麵包店，妳來到這裡建議嚐看看傳統菠蘿麵包，共有3種口味，純菠羅不含其他香料，以頂端的糖酥與下部的麵糰共嚼之後，吃的到菠羅的甜腴與麵香，除了傳統波羅，現在口味更新增至10多種，供大家選擇。特色料理：菠羅麵包、奶酥菠蘿、奶油菠蘿、蒜味麵包等。營業時間：07:00-22:30 (16:00-17:00麵包成品較多)假日(17:00~19:00)","886-2-26223015","新北市251淡水區淡金路三段347號","251","平日08:00-22:00 週六日8:00-18:30 (每月月中的周三，月尾最後的周六)","","121.44872","25.20669","09","","","2020/04/06 18:21:33"
"C3_382000000A_206992","老楊煎包","想吃獨家口味的煎包嗎？絕對不能錯過超高人氣、外皮酥脆的老楊煎包，一到周末時段，常常遠遠就可以看到，摩托車及汽車並排的等候車潮，老顧客都知道，看到老闆的第一句話常常是：請問這一鍋還要等多久，堅持現做現煎的老楊煎包，早上是賣高麗菜口味，下午則是賣韭菜口味，煎包裡面還加了絞肉，這裡的水煎包物超所值，內餡都是真材實料，尤其是鍋邊的煎包，外皮煎的金黃酥脆，真的是非常香脆可口。推薦產品:黃金脆皮水煎包","886-2-29145089","新北市231新店區中興路一段112號","231","06:00-12:00 15:00-18:00(賣完為止) 周二休整天 日一下午休","","121.5413","24.96231","09","","","2017/07/21 08:41:49"
"C3_382000000A_207038","清真雲南小吃","每當香味四溢的烤餅出爐，外酥內軟又充滿香氣與奶香的烤餅風味，加上茶香濃厚又甜度適中的奶茶，不禁讓人食指大動。推薦產品:印度烤餅、印度奶茶","886-2-29402704","新北市235中和區華新街62號","235","週一-週日 06:00-16:00 週五公休、過年正常營業","","121.50801","24.98381","09","","","2018/12/27 16:23:28"
"C3_382000000A_207254","萬香烤鴨","曾榮獲2008年烤鴨達人專業評審團評比第一名的實力可不是浪得虛名，烤至金黃色的鴨皮，散發誘人香氣，片下的鴨肉不管單吃或配上蔥段與鴨皮都讓人胃口大開，以大火快炒而成的炒鴨肉更讓人吮指回味！推薦菜色:萬香烤鴨三吃","886-2-29536672","新北市220板橋區忠孝路116號","220","10:00 - 20:00","","121.4629","25.00224","09","","","2019/06/10 16:24:47"
"C3_382000000A_207397","宜安路麵線","""中和知名的30年以上歷史老店，從原本路邊小巷子內的攤位起家，到現在大馬路旁開了自己的店面，麵線攤子前大排長龍的景象依舊。用大骨和來自布袋鮮蚵熬湯3小時以上，製成麵線的湯底，再加上紅麵線及蚵仔、豬腸、肉羹等配料，不論大碗、小碗，淋上一點老闆特製的辣油入味，相得益彰十分過癮。推薦菜色:蚵仔麵線""","886-2-29446451","新北市235中和區宜安路117號","235","11:00 - 凌晨03:00","","121.5102","24.99788","09","","","2020/07/28 14:27:38"
"C3_382000000A_207436","九份茶坊","洪先生於70年代在因緣際會下來到九份，深受此地得天獨厚的山海美景和山城繁華落盡的淒美風情所吸引，當時適逢翁山英故居要出售，於是決定暫時放下手邊的事業，於民國76年（1987年）買下這棟默默見證九份興衰、將近70年、老態龍鍾的殘破古厝。他以藝術家的敏銳觀察力與熱情，發掘出這棟古厝獨特的美，毅然保留結構與格局，唯一重大調整是為了自然採光而加開天井，無心插柳柳成蔭，使得風水師不看好的這棟古厝，又注入了全新充沛活力。整修完成後，古意盎然而且充滿人文懷舊氣息，洪先生決定經營藝文茶樓，於民國80年（1991年）開張，成為九份地區重啟繁榮的第一家茶坊。門口的古樸「茶陶畫」布簾，是茶坊的經營理念。四目所及，大面積的隔間與整齊疊放的商品或並排、或前後高低有秩疊放，呈現整體和諧美。天井下方的魚池與小花園、轉角的古董太師椅陪襯出特色茶具組、中堂的威嚴與兩旁拓印碑文的陪襯，至今仍是招待重要客人...","886-2-24969056,886224976487","新北市224瑞芳區基山街142號","224","10:30 - 21:00","","121.84357","25.10819","09","","","2022/02/21 15:43:16"
"C3_382000000A_207439","熱油麻糬","現在少見的熱油麻糬，不要以為很油膩，其實麻糬本身是不吸油的，老闆娘每天都換新鮮的油，這種處理方式，不僅能保持麻糬的Q度，更能長時間保溫保新鮮，再配上現磨現炒的花生粉，有甜跟不甜可選擇，大人小孩都愛吃！","886-2-24977822","新北市224瑞芳區民生街35巷2號(美食廣場第40號攤位)","224","09:00 - 20:00 (開門關門不一定可打電話詢問)","","121.80581","25.10693","09","","","2021/10/27 14:20:53"
"C3_382000000A_207511","蔡家炒羊肉","蔡老板的炒羊肉攤在民國六十八年起就在三重國小邊擺攤，盛時附近羊肉攤多達十多攤，目前只剩三攤。蔡家炒羊肉以炒羊肉麵與炒羊肉起家，沙拉醬摻入新鮮的薄羊片與應菜，口味甘甜香濃道地，再一罐黃澄澄維大力汽水，可吃得很過癮，是一大美食享受；其他各式炒菜也都很受到歡迎，熱騰騰的炒箭筍、炒脆腸、炒蛤蜊、炒青菜等三十種家常菜美味，現點現煮，為寒冷的秋冬時節最佳的人間美味。","886-2-29857268","新北市241三重區文化北路234號","241","16:30-凌晨1:00 不定期公休","","121.4974","25.06955","09","","","2018/12/28 11:14:06"
"C3_382000000A_207567","雙溪香甜小吃部","從雙溪火車站一出來，就能看到這間在地的小吃店，店內提供招牌的鐵路便當，有著雙溪的特產黑豬肉，加上特製的黑豬肉香腸，搭配滷豆乾醃黃瓜，簡單的家常味讓人食指大動，再點一份煙燻豬頭皮，口感Q嫩，黑豬肉不會有比較重的豬腥味，所以吃起來香氣十足，而老闆娘親切的態度，讓人感受到熱情的服務。","886-2-24932666","新北市227雙溪區朝陽街3號","227","09:00-19:30 週五公休(過年從除夕休到初四)","","121.8661","25.03861","09","","","2018/06/20 09:52:50"
"C3_382000000A_207579","富士海鮮","位於福隆海水浴場旁的富士海產，簡單家庭式的裝潢，牆面上提供給推薦朋友來簽名，另外還有提供戶外用餐場地，這裡的海鮮非常鮮甜，感覺就像是剛從海邊捕捉上來的，非常受到國外遊客的喜愛，有來自加拿大以及歐洲的觀光客也在牆上簽名留念，而富士海鮮也為2011年觀光護照之特約商店，來到福隆參加國際海洋音樂祭，歡迎你來這品嚐。","886-2-24991001","新北市228貢寮區福隆里東興街8號","228","11:00~21:00","","121.95042","25.02001","09","","","2019/11/09 14:56:54"
"C3_382000000A_207646","怡如小吃店","藏身在街尾厝邊，來訪的旅客幾乎都是由在地人帶路，招牌的白斬雞香嫩多汁，清炒箭筍還有美味的炸溪蝦，都能讓你吃到在地的山產野味，在平溪的這間怡如小吃名號已漸漸傳開，都是由吃過的朋友推薦報路慕名而來，店內只有簡單的裝潢，卻讓人感到家庭式的溫暖。","886-2-24951277","新北市226平溪區嶺腳村中華街60號","226","11:00-20:00 (不定期公休)","","121.73934","25.025","09","","","2017/07/21 03:25:57"
"C3_382000000A_207649","台灣煤礦博物館(礦工便當)","火車便當、鐵路便當、竹片便當、特製便當，這些便當已不稀奇，吃過礦工便當嗎？來到平溪的台灣煤礦博物館，購票入園體驗早期的礦工生活，以及參觀模擬煤礦隧道，園區的服務人員會先詢問是否需要特製的礦工便當，事先替入園客人準備，沒有大廚豪華的菜色，確有著心繫兒子的母親，所做出來屬於媽媽味道的菜餚。","886-2-24958680","新北市226平溪區新寮村頂寮子5號","226","週二~週日09:00~17:00(16:00停止售票) （週一公休）","","121.77325","25.05248","09","","","2018/12/27 14:56:51"
"C3_382000000A_207691","美美飲食店","開店半世紀以上的美美飲食店，位於石碇區石碇東街上，是許多老饕推薦的店家，不起眼的店面卻是滿滿人潮，是石碇傳統鄉土美味的代表店之一，最有名的幾道鄉土菜：白斬閹雞、宮保皮蛋、炒蠅頭、滷桂竹筍、豆腐三吃(炸、羹、紅燒)，都是前往石碇的旅客所大力推薦，享受地方美食的必點好菜，店內點菜率超高的炒檳榔花，加入肉絲及木耳絲還有紅蘿蔔及蒜頭，就是一道令人讚賞的美味。","886-2-26631986","新北市223石碇區石碇東街71號","223","週一10:30-15:00、週三-週五10:30-18:00、週六-週日10:30-18:30 (週二公休）","","121.66053","24.9909","09","","","2018/12/27 10:49:30"
"C3_382000000A_207703","二哥的店美食館","平民美食要吃的飽又要吃的健康，那就千萬不能錯過這間二哥的店，以各式精緻便當餐盒，多種菜色選擇，除了自助餐的經營方式，各式主菜也非常受到大眾的歡迎，雞腿飯、排骨飯，還有蒜泥白肉以及秋刀魚等多種選擇，價格非常的實在，深受在地居民以及學生們的喜愛。","886-2-89855448,886229888733","新北市241三重區大同北路41號","241","10:00~14:00、16:00~20:00 (周六、日公休)","","121.49538","25.0629","09","","","2018/12/28 10:54:56"
"C3_382000000A_207979","魚之鄉","招牌上大大寫著「基隆生猛海鮮」，新莊第一市場裡的名攤「魚之鄉」為了給客人最新鮮的食材，周老闆不惜成本選用來自基隆漁港的現撈魚貨，食材新鮮、漂亮是最大的特色，對品質的堅持建立起良好的商譽，不少餐廳都指定選用魚之鄉的食材。","886-2-29983507,886935160684","新北市242新莊區新莊路315號2樓(第一公有市場A2075攤)","242","06:00-14:00(周一休)","","121.45344","25.03402","09","","","2019/10/27 16:19:47"
"C3_382000000A_208875","酒莊美食餐廳","坐落在山林間不起眼的樸實小屋裡，有著對料理滿懷熱誠的老闆在此已經營近十年，希望讓每位蒞臨的客人能嚐到獨特又道地的料理，堅持不使用現成的簡便食材，新鮮純手工是特色之一，免費供應古早味豬油飯更是大人小孩的最愛，喜歡高歌幾曲的，也有卡拉ok免費歡唱，希望讓所有的客人都能吃的愉快，玩得盡興。","886-2-24921616","新北市207萬里區崁腳里內中福路4號","207","11:00~15:00 / 16:30~19:30 (週一公休)","","121.66769","25.16535","09","","","2019/10/27 13:44:09"
"C3_382000000A_206204","高家冰溫泉蛋創始店","鄰近烏來老街「覽勝橋」頭的「高家冰溫泉蛋創始店」的一天從清晨的準備工作開始。熬煮店裡的「紫米八寶粥」、「小米八寶粥」、「紅豆八寶粥」，與準備木耳、紅棗、蕃薯、蓮子、薏仁、芋圓、湯圓、山粉圓、龍眼等配料，而最重要的溫泉蛋的準備工作自然不容怠忽。過去在老街經營滷味生意，希望能將自家產品與當地特色結合，便活用過去滷味經驗於溫泉蛋的生產製作中，於2001年以冰鎮溫泉蛋打出招牌，並廣受各平面電子媒體報導！除冰鎮溫泉蛋外，八寶粥料多實在，而全年販售的「山粉圓」與夏日限定的冰品更是遊客酷暑時的最愛！","886-2-26617458","新北市233烏來區烏來街135號","233","平日：08：00~18：00、假日：08:00~20:00、(全年無休)","","121.55153","24.86273","09","","","2018/12/27 15:28:16"
"C3_382000000A_206563","客家小館","主廚推薦：燉雞、客家小炒、冰糖蹄膀、金莎蝦球","886-2-29483358,886231517777","新北市234永和區智光街22號","234","11:30-14:00 、17:30-21:00（過年期間公休）","","121.51808","24.99922","09","","","2018/12/27 16:01:22"
